"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-24",,"81",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-25",,"82",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-26",,"83",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-27",,"81",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-28",,"79",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-29",,"78",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-30",,"80",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-31",,"78",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-01",,"76",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-02",,"78",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-03",,"78",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-04",,"78",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-05",,"77",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-06",,"80",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-07",,"83",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-08",,"83",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-09",,"84",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-10",,"83",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-11",,"80",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-12",,"80",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-13",,"82",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-14",,"85",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-15",,"85",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-16",,"82",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-17",,"83",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-18",,"84",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-19",,"83",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-20",,"85",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-21",,"87",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-02-22",,"85",,"69"
